year,title,venue,topic,notes
1995,Short encodings of planar graphs and maps,,static analysis / formal methods,"Included because it is a peer-reviewed article in the search result set, but it is not clearly on the Python/type-analysis theme [:reference:]abstract@64@1@2-s2.0-0000962826@@false[:/reference:]"
1999,Linear-time succinct encodings of planar graphs via canonical orderings,,static analysis / formal methods,"Included because it is a peer-reviewed article in the search result set, but it is not clearly on the Python/type-analysis theme [:reference:]abstract@65@2@2-s2.0-0001740837@@false[:/reference:]"
2001,Intrusion detection via static analysis,Proceedings of the IEEE Computer Society Symposium on Research in Security and Privacy,static analysis,[:reference:]abstract@66@3@2-s2.0-0034836394@@false[:/reference:]
2001,An empirical study of operating systems errors,Operating Systems Review (ACM),static analysis,[:reference:]abstract@67@4@2-s2.0-0036041421@@false[:/reference:]
2003,Precise analysis of string expressions,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),static analysis,[:reference:]abstract@68@5@2-s2.0-35248891044@@false[:/reference:]
2004,Emand-Driven type inference with subgoal pruning: Trading precision for scalability,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),type inference,[:reference:]abstract@42@6@2-s2.0-35048898438@@false[:/reference:]
2005,CCured: Type-safe retrofitting of legacy software,ACM Transactions on Programming Languages and Systems,type checking / type inference,[:reference:]abstract@62@7@2-s2.0-33646032658@@false[:/reference:]
2006,On the value of static analysis for fault detection in software,IEEE Transactions on Software Engineering,static analysis,[:reference:]abstract@48@8@2-s2.0-33646501895@@false[:/reference:]
2008,Using static analysis to find bugs,IEEE Software,static analysis,[:reference:]abstract@47@9@2-s2.0-50549091105@@false[:/reference:]
2008,A survey of automated techniques for formal software verification,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,static analysis / verification,[:reference:]abstract@57@10@2-s2.0-45849085781@@false[:/reference:]
2010,WYSINWYX: What you see is not what you execute,ACM Transactions on Programming Languages and Systems,static analysis,[:reference:]abstract@69@11@2-s2.0-77955623537@@false[:/reference:]
2011,Iterative type inference with attribute grammars,ACM SIGPLAN Notices,type inference,[:reference:]abstract@41@12@2-s2.0-79951748723@@false[:/reference:]
2014,Cast insertion strategies for gradually-typed objects,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@43@13@2-s2.0-84894079183@@false[:/reference:]
2015,Monotonic references for efficient gradual typing,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),gradual typing,[:reference:]abstract@56@14@2-s2.0-84926624668@@false[:/reference:]
2015,Principal Type Schemes for Gradual Programs,ACM SIGPLAN Notices,gradual typing / type inference,[:reference:]abstract@38@15@2-s2.0-105035068550@@false[:/reference:]
2016,Abstracting Gradual Typing,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@44@16@2-s2.0-84965047936@@false[:/reference:]
2016,The Gradualizer: A methodology and algorithm for generating gradual type systems,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@37@17@2-s2.0-84965000036@@false[:/reference:]
2017,On polymorphic gradual typing,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@36@18@2-s2.0-85045686307@@false[:/reference:]
2017,Big types in little runtime: Open-world soundness and collaborative blame for gradual type systems,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@3@19@2-s2.0-85119380585@@false[:/reference:]
2017,Automatically generating the dynamic semantics of gradually typed languages,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@55@20@2-s2.0-85119322610@@false[:/reference:]
2017,Sound gradual typing is nominally alive and well,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@61@21@2-s2.0-85120105476@@false[:/reference:]
2017,Gradual refinement types,ACM SIGPLAN Notices,gradual typing,[:reference:]abstract@46@22@2-s2.0-85119367665@@false[:/reference:]
2018,A spectrum of type soundness and performance,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@14@23@2-s2.0-85120128210@@false[:/reference:]
2018,Mining inline cache data to order inferred types in dynamic languages,Science of Computer Programming,type inference,[:reference:]abstract@54@24@2-s2.0-85034845249@@false[:/reference:]
2018,Preemptive type checking,,type checking,"Search result included a Python bytecode type-analysis paper, but the venue metadata was not provided [:reference:]full_text@63@25@S2352220816300785@S2352220816300785-chunk-16@false[:/reference:]"
2019,How to evaluate the performance of gradual type systems,Journal of Functional Programming,gradual typing,[:reference:]abstract@59@26@2-s2.0-85061983103@@false[:/reference:]
2019,Rule-based program specialization to optimize gradually typed code,,gradual typing / type checking,[:reference:]full_text@33@27@S0950705119302199@S0950705119302199-chunk-113@false[:/reference:]
2020,Abstracting gradual references,Science of Computer Programming,gradual typing,[:reference:]abstract@34@28@2-s2.0-85086633882@@false[:/reference:]
2020,Taming type annotations in gradual typing,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@6@29@2-s2.0-85097580495@@false[:/reference:]
2020,Gradual Typing Using Union Typing With Records,Electronic Notes in Theoretical Computer Science,gradual typing,[:reference:]abstract@70@30@2-s2.0-85114431496@@false[:/reference:]
2021,Abstracting Gradual Typing moving forward: Precise and space-efficient,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@35@31@2-s2.0-85099071630@@false[:/reference:]
2021,Transitioning from structural to nominal code with efficient gradual typing,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@45@32@2-s2.0-85117597571@@false[:/reference:]
2021,Blame and coercion: Together again for the first time,Journal of Functional Programming,gradual typing,[:reference:]abstract@52@33@2-s2.0-85117442840@@false[:/reference:]
2021,Type-Based Gradual Typing Performance Optimization,Proceedings of the ACM on Programming Languages,gradual typing,[:reference:]abstract@60@34@2-s2.0-85183076269@@false[:/reference:]
2022,Gradual System F,Journal of the ACM,gradual typing,[:reference:]abstract@39@35@2-s2.0-105014727459@@false[:/reference:]
2022,A gradual type system for Elixir,Journal of Computer Languages,gradual typing,[:reference:]abstract@53@36@2-s2.0-85119912249@@false[:/reference:]
2022,Quantifying the interpretation overhead of Python,,Python static analysis,[:reference:]full_text@71@37@S0167642321001520@S0167642321001520-chunk-68@false[:/reference:]
2023,Pattern-based circular reference detection in Python,,Python static analysis / type inference,[:reference:]full_text@40@38@S016764232300014X@S016764232300014X-chunk-83@false[:/reference:]
2023,Learning to Predict User-Defined Types,IEEE Transactions on Software Engineering,type inference,[:reference:]abstract@72@39@2-s2.0-85131718430@@false[:/reference:]
2023,Detecting and Explaining Python Name Errors,,Python static analysis,[:reference:]full_text@49@40@S0950584924001976@S0950584924001976-chunk-4@false[:/reference:]
2024,QuAC: Quick Attribute-Centric Type Inference for Python,Proceedings of the ACM on Programming Languages,type inference,[:reference:]abstract@10@41@2-s2.0-85206933850@@false[:/reference:]
2024,Generating Python Type Annotations from Type Inference: How Far Are We?,ACM Transactions on Software Engineering and Methodology,type inference,[:reference:]abstract@58@42@2-s2.0-85195633748@@false[:/reference:]
2024,Static Blame for gradual typing,Journal of Functional Programming,gradual typing,[:reference:]abstract@50@43@2-s2.0-85188733508@@false[:/reference:]
2025,Towards a type-based abstract semantics for Python,,Python static analysis / type inference,[:reference:]full_text@32@44@S2352220824000865@S2352220824000865-chunk-14@false[:/reference:]
2025,DeVAIC: A tool for security assessment of AI-generated code,,static analysis,[:reference:]full_text@74@45@S0950584924001770@S0950584924001770-chunk-89@false[:/reference:]
2025,Static analysis by abstract interpretation against data leakage in machine learning,,static analysis,[:reference:]full_text@75@46@S0167642325000772@S0167642325000772-chunk-60@false[:/reference:]
2025,Efficient Selection of Type Annotations for Performance Improvement in Gradual Typing,Art, Science, and Engineering of Programming,gradual typing,[:reference:]abstract@11@47@2-s2.0-105032681882@@false[:/reference:]
2026,Pythonic existential types,,Python typing / static type checking,[:reference:]full_text@76@48@S2352220826000453@S2352220826000453-chunk-102@false[:/reference:]
2026,Exception handling bugs in Python: An empirical study of root causes, fix patterns, and anti-patterns,,Python static analysis / type errors,[:reference:]full_text@78@49@S0950584926002533@S0950584926002533-chunk-113@false[:/reference:]
