year,title,venue,topic,notes
2002,Ravenscar-Java: A high integrity profile for real-time Java,,high-integrity Java profile,"A restricted Java profile for high-integrity real-time systems [:reference:]abstract@161@0@2-s2.0-0242443902@@false[:/reference:]"
2007,Garbage collection for safety critical Java,Proceedings of the 5th International Workshop on Java Technologies for Real-Time and Embedded Systems, JTRES 2007,GC / SCJ memory,"Proposes a real-time garbage collector for the safety-critical Java subset [:reference:]abstract@162@1@2-s2.0-38849092499@@false[:/reference:]"
2009,A technology compatibility kit for safety critical Java,ACM International Conference Proceeding Series,conformance / certification,"Designs an open-source compatibility kit to test SCJ implementations [:reference:]abstract@163@2@2-s2.0-70350655655@@false[:/reference:]"
2009,Use of PERC pico in the AIDA avionics platform,ACM International Conference Proceeding Series,avionics case study,"Reports SCJ-related avionics use in the AIDA platform and discusses memory-model issues [:reference:]abstract@164@3@2-s2.0-70350676396@@false[:/reference:]"
2010,Developing Safety Critical Java applications with oSCJ/L0,ACM International Conference Proceeding Series,implementation / performance,"Describes an SCJ Level 0 implementation and evaluates predictability/performance [:reference:]abstract@165@4@2-s2.0-77957946457@@false[:/reference:]"
2010,Static checking of Safety Critical Java annotations,ACM International Conference Proceeding Series,static analysis,"Checks SCJ annotations statically with a prototype implementation [:reference:]abstract@166@5@2-s2.0-77957943860@@false[:/reference:]"
2010,The design of SafeJML, a specification language for SCJ with support for WCET specification,ACM International Conference Proceeding Series,specification / WCET,"Extends JML for functional and timing constraints in SCJ [:reference:]abstract@167@6@2-s2.0-77957951601@@false[:/reference:]"
2011,Memory management for safety-critical Java,ACM International Conference Proceeding Series,memory management,"Explores scoped memory implementation and certification-oriented simplifications [:reference:]abstract@168@7@2-s2.0-80755167809@@false[:/reference:]"
2011,The safety-critical java memory model: A formal account,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),formal memory model,"First formalization of SCJ memory regions [:reference:]abstract@169@8@2-s2.0-79959968058@@false[:/reference:]"
2011,The safety-critical java mission model: A formal account,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),formal mission model,"First formalization of the SCJ execution model for missions and event handlers [:reference:]abstract@170@9@2-s2.0-80455162653@@false[:/reference:]"
2011,Resource sharing in RTSJ and SCJ systems,ACM International Conference Proceeding Series,resource sharing,"Analyzes multiprocessor resource allocation and deadlock prevention [:reference:]abstract@171@10@2-s2.0-80755167817@@false[:/reference:]"
2011,Safety-critical Java in circus,ACM International Conference Proceeding Series,formal refinement,"Introduces a refinement technique for SCJ programs [:reference:]abstract@172@11@2-s2.0-80755167814@@false[:/reference:]"
2012,Asynchronous event handling and Safety Critical Java,Concurrency and Computation: Practice and Experience,concurrency / API design,"Reviews SCJ’s event-based concurrency model and its tradeoffs [:reference:]abstract@173@12@2-s2.0-84861182669@@false[:/reference:]"
2012,Hardware support for safety-critical Java scope checks,Proceedings - 2012 15th IEEE International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing, ISORC 2012,scope checking / hardware,"Shows simple hardware extensions can improve scoped-memory checks [:reference:]abstract@174@13@2-s2.0-84863976343@@false[:/reference:]"
2012,An evaluation of safety-critical Java on a Java processor,Proceedings - IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing, ISORC 2014,implementation evaluation,"Benchmarks an SCJ implementation on JOP using timing and memory criteria [:reference:]abstract@175@14@2-s2.0-84941270238@@false[:/reference:]"
2012,Safety-critical java: The mission approach,Distributed, Embedded and Real-time Java Systems,mission-based programming,"Explains missions as reusable active components for certification artifacts [:reference:]abstract@176@15@2-s2.0-84949175445@@false[:/reference:]"
2012,Safety-critical java on a java processor,ACM International Conference Proceeding Series,prototype implementation,"Reports a prototype SCJ implementation on a Java processor and issues for the expert group [:reference:]abstract@177@16@2-s2.0-84870276383@@false[:/reference:]"
2012,Worst-case memory consumption analysis for SCJ,ACM International Conference Proceeding Series,memory analysis,"Provides a tool for static worst-case memory bounds in SCJ [:reference:]abstract@178@17@2-s2.0-84887351231@@false[:/reference:]"
2013,Circus models for safety-critical java programs,Computer Journal,formal modeling,"Formalizes SCJ Level 1 execution and automates model generation [:reference:]abstract@179@18@2-s2.0-84903192450@@false[:/reference:]"
2013,Refining SCJ mission specifications into parallel handler designs,Electronic Proceedings in Theoretical Computer Science, EPTCS,refinement / design,"Develops laws for refining SCJ mission specifications into parallel handlers [:reference:]abstract@180@19@2-s2.0-84991209282@@false[:/reference:]"
2013,Refinement strategies for safety-critical java,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),refinement / code generation,"Derives SCJ designs from cyclic executive patterns [:reference:]abstract@181@20@2-s2.0-84958039202@@false[:/reference:]"
2013,Design of safety-critical java level 1 applications using affine abstract clocks,Proceedings of the 16th International Workshop on Software and Compilers for Embedded Systems, M-SCOPES 2013,schedulability / design,"Uses dataflow design to avoid races, deadlocks, and priority inversion [:reference:]abstract@182@21@2-s2.0-84893430019@@false[:/reference:]"
2013,Safety-critical Java programs from Circus models,Real-Time Systems,formal verification,"Derives SCJ programs from Circus models and applies to an aircraft collision detector [:reference:]abstract@183@22@2-s2.0-84880359062@@false[:/reference:]"
2013,The safety-critical java memory model formalised,Formal Aspects of Computing,formal memory model,"Formalizes SCJ memory regions and supports refinement reasoning [:reference:]abstract@184@23@2-s2.0-84872295397@@false[:/reference:]"
